locatie,detalii,pret
"Sibiu, SB, Mihai Viteazul",3 camere  •  55 m²  •  etajul 3/4  •  1978  •  decomandat,89.000 eur
"Timisoara, TM, Girocului",2 camere  •  54 m²  •  etajul 5/5  •  2021  •  decomandat,61.500 eur
"Bucuresti, IF, Colentina",2 camere  •  60 m²  •  etajul 4/4  •  1986  •  decomandat,68.000 eur
"Piatra Neamt, NT, Precista",2 camere  •  44 m²  •  etajul 4/4  •  1980  •  decomandat,45.000 eur
"Bucuresti, IF, Militari",2 camere  •  60 m²  •  etajul 6/8  •  2021  •  decomandat,89.523 eur
"Timisoara, TM, Iosefin",2 camere  •  56 m²  •  etajul 5/8  •  1970  •  semidecomandat,67.900 eur
"Cluj-Napoca, CJ, Grigorescu",2 camere  •  44 m²  •  etajul 3/4  •  1980  •  semidecomandat,104.000 eur
"Floresti, CJ, Central",2 camere  •  50 m²  •  etajul 4/5  •  2020  •  semidecomandat,77.000 eur
"Craiova, DJ, Est",2 camere  •  48 m²  •  etajul 4  •  1982  •  decomandat,68.000 eur
"Bucuresti, IF, Pantelimon",2 camere  •  55 m²  •  etajul 3/8  •  1985  •  decomandat,76.000 eur
"Focsani, VN, Central",3 camere  •  80 m²  •  etajul 3/12+  •  1980  •  decomandat,80.000 eur
"Bucuresti, IF, Pantelimon",2 camere  •  40 m²  •  etajul 3/10  •  1978  •  decomandat,49.900 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  50 m²  •  etajul 2/10  •  1970  •  circular,60.000 eur
"Iasi, IS, Dacia",3 camere  •  77 m²  •  etajul 8/9  •  1991  •  semidecomandat,85.000 eur
"Cluj-Napoca, CJ, Manastur",4 camere  •  57 m²  •  etajul 1/4  •  1974  •  semidecomandat,112.000 eur
"Bucuresti, IF, Berceni",2 camere  •  55 m²  •  etajul 6/10  •  1980  •  semidecomandat,79.900 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  53 m²  •  etajul 4  •  1985  •  decomandat,64.000 eur
"Bacau, BC, Narcisa",2 camere  •  44 m²  •  etajul 4  •  1979  •  semidecomandat,54.000 eur
"Resita, CS, Lunca",2 camere  •  52 m²  •  etajul 4/4  •  1985  •  decomandat,42.500 eur
"Sibiu, SB, Central",2 camere  •  50 m²  •  etajul 1/2  •  2020  •  decomandat,68.000 eur
"Bucuresti, IF, Decebal",3 camere  •  83 m²  •  etajul 2/10  •  2008  •  decomandat,170.000 eur
"Bucuresti, IF, Constructorilor",2 camere  •  58 m²  •  etajul 1/12+  •  2020  •  decomandat,122.500 eur
"Braila, BR, Independentei",3 camere  •  95 m²  •  etajul 3  •  1985  •  decomandat,92.000 eur
"Tulcea, TL, Ultracentral",2 camere  •  49 m²  •  etajul 4/4  •  1970  •  semidecomandat,56.000 eur
"Brasov, BV, Garii",2 camere  •  60 m²  •  etajul 1  •  1980  •  semidecomandat,80.000 eur
"Bucuresti, IF, Basarabia",1 cameră  •  30 m²  •  etajul 9/10  •  1975  •  semidecomandat,41.500 eur
"Sibiu, SB, Central",3 camere  •  66 m²  •  etajul 1/3  •  2021  •  decomandat,82.500 eur
"Bucuresti, IF, Gorjului",2 camere  •  51 m²  •  etajul 5/10  •  1976  •  decomandat,73.000 eur
"Brasov, BV, Florilor",2 camere  •  35 m²  •  etajul 3  •  1980  •  semidecomandat,52.000 eur
"Baia Sprie, MM, Central",2 camere  •  33 m²  •  etajul 4  •  1980  •  nedecomandat,30.000 eur
"Bucuresti, IF, Aparatorii Patriei",3 camere  •  70 m²  •  etajul 2/8  •  1984  •  semidecomandat,98.000 eur
"Craiova, DJ, Sarari",2 camere  •  55 m²  •  etajul 1/3  •  1976  •  decomandat,74.990 eur
"Otopeni, IF, Central",3 camere  •  82 m²  •  etajul 1/3  •  2021  •  decomandat,118.990 eur
"Bucuresti, IF, Sisesti",2 camere  •  68 m²  •  etajul 1/12+  •  2021  •  decomandat,103.334 eur
"Chiajna, IF, Central",2 camere  •  47 m²  •  etajul 7/8  •  2020  •  decomandat,49.875 eur
"Cluj-Napoca, CJ, Marasti",4 camere  •  85 m²  •  etajul 8/8  •  1985  •  semidecomandat,149.000 eur
"Chiajna, IF, Central",2 camere  •  47 m²  •  etajul 8/8  •  2020  •  decomandat,51.062 eur
"Timisoara, TM, Aradului",3 camere  •  65 m²  •  etajul 2/4  •  1980  •  decomandat,91.500 eur
"Brasov, BV, Craiter",4 camere  •  107 m²  •  etajul 4  •  1980  •  decomandat,115.000 eur
"Bucuresti, IF, Unirii",3 camere  •  90 m²  •  etajul 5/10  •  2019  •  decomandat,275.000 eur
"Constanta, CT, ICIL",3 camere  •  78 m²  •  etajul 4/4  •  2018  •  semidecomandat,125.000 eur
"Brasov, BV, Astra",2 camere  •  42 m²  •  etajul 4  •  1980  •  semidecomandat,55.000 eur
"Iasi, IS, Central",3 camere  •  70 m²  •  etajul 1  •  1983  •  decomandat,148.000 eur
"Brasov, BV, Harmanului",2 camere  •  42 m²  •  etajul 3  •  1980  •  semidecomandat,68.000 eur
"Brasov, BV, Astra",3 camere  •  62 m²  •  etajul 3  •  1980  •  decomandat,88.000 eur
"Bucuresti, IF, Dristor",2 camere  •  52 m²  •  etajul 5/8  •  1986  •  decomandat,84.900 eur
"Bucuresti, IF, Prelungirea Ghencea",2 camere  •  60 m²  •  etajul 1  •  2020  •  decomandat,45.900 eur
"Focsani, VN, Central",3 camere  •  82 m²  •  etajul 6/6  •  1977  •  decomandat,50.000 eur
"Alba Iulia, AB, Ampoi 3",3 camere  •  66 m²  •  etajul 4  •  1984  •  decomandat,63.500 eur
"Bucuresti, IF, Basarab",1 cameră  •  38 m²  •  etajul 4/5  •  1997  •  semidecomandat,85.000 eur
"Focsani, VN, Aviatorilor",3 camere  •  81 m²  •  etajul 1/3  •  1989  •  decomandat,80.000 eur
"Pitesti, AG, Trivale",2 camere  •  37 m²  •  etajul 3/4  •  1980  •  semidecomandat,45.000 eur
"Brasov, BV, Tractorul",2 camere  •  55 m²  •  etajul 2  •  2020  •  decomandat,140.000 eur
"Craiova, DJ, 2Cornitoiu",2 camere  •  55 m²  •  etajul 1/4  •  1985  •  decomandat,76.700 eur
"Bucuresti, IF, Drumul Taberei",2 camere  •  52 m²  •  etajul 6/9  •  1970  •  semidecomandat,65.500 eur
"Galati, GL, Port",1 cameră  •  20 m²  •  etajul 3  •  1987  •  circular,25.500 eur
"Cluj-Napoca, CJ, Iris",2 camere  •  54 m²  •  etajul 6/8  •  2010  •  decomandat,115.000 eur
"Bucuresti, IF, 13 Septembrie",3 camere  •  70 m²  •  etajul 5/8  •  1994  •  semidecomandat,123.500 eur
"Bucuresti, IF, Tineretului",3 camere  •  67 m²  •  etajul 7/12+  •  2017  •  decomandat,178.000 eur
"Constanta, CT, Mamaia Nord",2 camere  •  71 m²  •  etajul 3/10  •  2015  •  decomandat,105.000 eur
"Alexandria, TR, Ultracentral",3 camere  •  68 m²  •  etajul 7/10  •  1981  •  decomandat,49.500 eur
"Iasi, IS, Independentei",3 camere  •  72 m²  •  etajul 9  •  1980  •  decomandat,95.000 eur
"Brasov, BV, Tractorul",2 camere  •  60 m²  •  etajul 5  •  2020  •  decomandat,97.500 eur
"Cluj-Napoca, CJ, Zorilor",1 cameră  •  40 m²  •  etajul 6/6  •  2012  •  decomandat,115.000 eur
"Chiajna, IF, Central",2 camere  •  49 m²  •  etajul 5/8  •  2020  •  decomandat,52.675 eur
"Brasov, BV, Tractorul",3 camere  •  79 m²  •  etajul 1/3  •  2021  •  decomandat,118.720 eur
"Bucuresti, IF, Virtutii",3 camere  •  59 m²  •  etajul 4/4  •  2021  •  semidecomandat,105.000 eur
"Bucuresti, IF, Prelungirea Ghencea",2 camere  •  62 m²  •  etajul 3/12+  •  2021  •  decomandat,95.000 eur
"Bucuresti, IF, Militari",2 camere  •  38 m²  •  etajul 3/4  •  2017  •  decomandat,58.500 eur
"Cluj-Napoca, CJ, Marasti",1 cameră  •  30 m²  •  etajul 3/3  •  2005  •  decomandat,76.000 eur
"Iasi, IS, Cug",3 camere  •  69 m²  •  etajul 1  •  2021  •  decomandat,79.900 eur
"Oradea, BH, Rogerius",3 camere  •  47 m²  •  etajul 2/4  •  1975  •  semidecomandat,59.500 eur
"Bucuresti, IF, Pipera",3 camere  •  80 m²  •  etajul 8/8  •  2018  •  decomandat,155.000 eur
"Bucuresti, IF, Brancoveanu",3 camere  •  66 m²  •  etajul 2/4  •  1977  •  decomandat,119.000 eur
"Bucuresti, IF, Prelungirea Ghencea",2 camere  •  75 m²  •  etajul 2/12+  •  2008  •  decomandat,85.000 eur
"Constanta, CT, Elvila",2 camere  •  56 m²  •  etajul 4/5  •  2021  •  decomandat,79.000 eur
"Braila, BR, Calarasi",1 cameră  •  40 m²  •  etajul 3  •  1980  •  decomandat,46.500 eur
"Bucuresti, IF, P-ta Presei Libere",4 camere  •  135 m²  •  etajul 4/5  •  2006  •  decomandat,295.000 eur
"Ploiesti, PH, Malu Rosu",4 camere  •  60 m²  •  etajul 2/4  •  1978  •  semidecomandat,62.800 eur
"Floresti, CJ, Ultracentral",3 camere  •  62 m²  •  etajul 3/3  •  2017  •  semidecomandat,95.000 eur
"Bucuresti, IF, P-ta Victoriei",3 camere  •  60 m²  •  etajul 3/8  •  1993  •  semidecomandat,180.000 eur
"Bucuresti, IF, Militari",2 camere  •  43 m²  •  etajul 7  •  2016  •  decomandat,59.900 eur
"Bragadiru, IF, Haliu",2 camere  •  55 m²  •  etajul 4  •  2020  •  decomandat,60.500 eur
"Bucuresti, IF, Unirii",3 camere  •  80 m²  •  etajul 7  •  1996  •  decomandat,140.000 eur
"Bragadiru, IF, Nord",2 camere  •  45 m²  •  etajul 1/4  •  2021  •  decomandat,60.000 eur
"Brasov, BV, Centrul Istoric",3 camere  •  186 m²  •  etajul 9  •  2007  •  decomandat,179.000 eur
"Constanta, CT, Mamaia Nord",2 camere  •  55 m²  •  etajul 5/6  •  2021  •  decomandat,210.000 eur
"Bucuresti, IF, Brancoveanu",3 camere  •  74 m²  •  etajul 8/8  •  1988  •  decomandat,115.600 eur
"Arad, AR, Central",3 camere  •  50 m²  •  etajul 4/4  •  1970  •  semidecomandat,45.000 eur
"Timisoara, TM, Balcescu",1 cameră  •  32 m²  •  etajul 5/5  •  2001  •  decomandat,46.000 eur
"Brasov, BV, Astra",2 camere  •  43 m²  •  etajul 2  •  1980  •  decomandat,72.500 eur
"Timisoara, TM, Braytim",1 cameră  •  32 m²  •  etajul 1/4  •  2021  •  semidecomandat,39.000 eur
"Bucuresti, IF, Militari",1 cameră  •  36 m²  •  etajul 7/8  •  2016  •  nedecomandat,40.000 eur
"Deva, HD, Central",1 cameră  •  35 m²  •  etajul 9  •  1970  •  semidecomandat,38.000 eur
"Brasov, BV, Scriitorilor",3 camere  •  120 m²  •  etajul 2  •  1980  •  semidecomandat,132.000 eur
"Cluj-Napoca, CJ, Marasti",4 camere  •  77 m²  •  etajul 3/4  •  1982  •  decomandat,185.000 eur
"Bucuresti, IF, 1 Decembrie 1918",3 camere  •  70 m²  •  etajul 3/8  •  1984  •  decomandat,100.000 eur
"Bacau, BC, Mioritei",3 camere  •  61 m²  •  etajul 3  •  1985  •  decomandat,68.000 eur
"Caracal, OT, Central",2 camere  •  54 m²  •  etajul 2  •  1977  •  decomandat,55.000 eur
"Ploiesti, PH, Central",1 cameră  •  40 m²  •  etajul 4/9  •  2011  •  semidecomandat,46.000 eur
"Chiajna, IF, Central",1 cameră  •  46 m²  •  etajul 2/7  •  2019  •  semidecomandat,47.000 eur
"Bucuresti, IF, Herastrau",3 camere  •  70 m²  •  etajul 1/4  •  2021  •  decomandat,210.000 eur
"Braila, BR, Bariera",3 camere  •  80 m²  •  etajul 2  •  1980  •  decomandat,85.000 eur
"Brasov, BV, Centrul Civic",3 camere  •  90 m²  •  etajul 5  •  1980  •  decomandat,151.000 eur
"Bucuresti, IF, Dristor",3 camere  •  83 m²  •  etajul 5/5  •  2019  •  decomandat,220.000 eur
"Iasi, IS, Gara",2 camere  •  56 m²  •  etajul 2  •  1984  •  decomandat,74.600 eur
"Iasi, IS, Pacurari",4 camere  •  87 m²  •  etajul 6/6  •  2021  •  decomandat,122.000 eur
"Ramnicu Valcea, VL, Dealul Malului",2 camere  •  73 m²  •  etajul 2  •  2008  •  decomandat,65.000 eur
"Timisoara, TM, Dorobantilor",2 camere  •  55 m²  •  etajul 4/4  •  1985  •  decomandat,66.000 eur
"Popesti Leordeni, IF, Central",2 camere  •  57 m²  •  etajul 2/2  •  2021  •  decomandat,66.667 eur
"Timisoara, TM, Braytim",2 camere  •  50 m²  •  etajul 1/1  •  2020  •  decomandat,67.000 eur
"Oradea, BH, Central",3 camere  •  105 m²  •  etajul 1/9  •  2015  •  semidecomandat,160.000 eur
"Mamaia, CT, Central",2 camere  •  60 m²  •  etajul 3/4  •  2019  •  decomandat,120.000 eur
"Brasov, BV, Avantgarden",2 camere  •  54 m²  •  etajul 7  •  2016  •  decomandat,83.000 eur
"Pitesti, AG, Trivale",2 camere  •  35 m²  •  etajul 2/4  •  1977  •  semidecomandat,51.000 eur
"Craiova, DJ, Central",2 camere  •  70 m²  •  etajul 3/3  •  2019  •  decomandat,160.000 eur
"Focsani, VN, Sud-Est",3 camere  •  54 m²  •  etajul 4  •  1980  •  decomandat,35.800 eur
"Bucuresti, IF, 13 Septembrie",2 camere  •  50 m²  •  etajul 8/10  •  1986  •  semidecomandat,90.000 eur
"Bucuresti, IF, Gorjului",2 camere  •  54 m²  •  etajul 3/4  •  1981  •  decomandat,85.000 eur
"Iasi, IS, Frumoasa",2 camere  •  60 m²  •  etajul 2  •  1985  •  decomandat,75.000 eur
"Bucuresti, IF, Central",2 camere  •  56 m²  •  etajul 5/8  •  1998  •  decomandat,149.000 eur
"Iasi, IS, Popas Pacurari",2 camere  •  59 m²  •  etajul 1/3  •  2017  •  decomandat,69.000 eur
"Brasov, BV, Tractorul",3 camere  •  70 m²  •  etajul 8/10  •  1980  •  decomandat,115.000 eur
"Bucuresti, IF, Colentina",3 camere  •  75 m²  •  etajul 9  •  1975  •  decomandat,90.003 eur
"Bucuresti, IF, Crangasi",3 camere  •  71 m²  •  etajul 8/8  •  1984  •  decomandat,92.000 eur
"Bucuresti, IF, Theodor Pallady",1 cameră  •  30 m²  •  etajul 3/10  •  1974  •  semidecomandat,40.000 eur
"Sibiu, SB, Calea Cisnadiei",2 camere  •  58 m²  •  etajul 3/3  •  2016  •  semidecomandat,85.000 eur
"Bucuresti, IF, Vitan",3 camere  •  64 m²  •  etajul 5/5  •  2015  •  decomandat,78.000 eur
"Bucuresti, IF, Metalurgiei",2 camere  •  63 m²  •  etajul 2/5  •  2020  •  decomandat,72.500 eur
"Sibiu, SB, Central",3 camere  •  74 m²  •  etajul 1/2  •  2018  •  decomandat,125.000 eur
"Constanta, CT, Tomis III",2 camere  •  43 m²  •  etajul 1/4  •  1978  •  semidecomandat,63.500 eur
"Bucuresti, IF, Bd. Laminorului",2 camere  •  50 m²  •  etajul 3/4  •  2013  •  semidecomandat,75.000 eur
"Botosani, BT, Est",2 camere  •  55 m²  •  etajul 3/4  •  1980  •  semidecomandat,54.600 eur
"Brasov, BV, Scriitorilor",3 camere  •  63 m²  •  etajul 4  •  1980  •  decomandat,96.000 eur
"Mamaia, CT, Central",2 camere  •  80 m²  •  etajul 8/10  •  2021  •  decomandat,360.000 eur
"Popesti Leordeni, IF, Central",3 camere  •  85 m²  •  etajul 3/5  •  2021  •  decomandat,86.600 eur
"Braila, BR, Plantelor",4 camere  •  77 m²  •  etajul 8/10  •  1985  •  decomandat,57.900 eur
"Alba Iulia, AB, Central",2 camere  •  62 m²  •  etajul 5/5  •  2010  •  semidecomandat,63.000 eur
"Brasov, BV, Astra",2 camere  •  50 m²  •  etajul 2  •  1980  •  semidecomandat,75.000 eur
"Timisoara, TM, Fabric",4 camere  •  81 m²  •  etajul 2/4  •  1980  •  decomandat,120.000 eur
"Timisoara, TM, Dorobantilor",4 camere  •  139 m²  •  etajul 4/4  •  1990  •  decomandat,168.999 eur
"Arad, AR, Central",2 camere  •  70 m²  •  etajul 1  •  1970  •  semidecomandat,55.000 eur
"Chiajna, IF, Central",2 camere  •  42 m²  •  etajul 2/4  •  2016  •  decomandat,47.000 eur
"Iasi, IS, Mircea cel Batran",2 camere  •  42 m²  •  etajul 4  •  1978  •  semidecomandat,46.300 eur
"Targu Jiu, GJ, Debarcader",3 camere  •  56 m²  •  etajul 2  •  1980  •  semidecomandat,67.000 eur
"Timisoara, TM, Aradului",2 camere  •  45 m²  •  etajul 4/4  •  1980  •  decomandat,63.000 eur
"Brasov, BV, Centrul Civic",3 camere  •  73 m²  •  etajul 1  •  1980  •  semidecomandat,120.000 eur
"Floresti, CJ, Central",3 camere  •  72 m²  •  etajul 2/3  •  2011  •  decomandat,99.000 eur
"Iasi, IS, Galata",2 camere  •  46 m²  •  etajul 4/4  •  1980  •  decomandat,46.000 eur
"Bucuresti, IF, Titan",2 camere  •  51 m²  •  etajul 4/10  •  1970  •  semidecomandat,73.000 eur
"Bragadiru, IF, Haliu",2 camere  •  65 m²  •  etajul 2  •  2020  •  decomandat,55.000 eur
"Constanta, CT, Tomis Nord",2 camere  •  44 m²  •  etajul 6/8  •  2021  •  semidecomandat,125.000 eur
